glass_forming_category,composition
BMG,Fe72Al5Ga2P10C6B4Si1
BMG,Fe61Co7Zr10Mo5W2B15
BMG,Ca63Al32Cu5
BMG,Fe67W5Y6B22
BMG,Mg67.5Pd17.5Yb15
BMG,Ag53.8Mg15.4Ca23.1Cu7.7
BMG,Pd4Zr48Cu32Al8Ag8
BMG,Zr41Ti14Cu12.5Ni8Be22.5Fe2
BMG,Gd60Co25Al15
BMG,Ni40Cu5Ti16.5Zr28.5Al10
Ribbon,Si25Ti25Zr50
Ribbon,B17Fe73Ni10
Ribbon,Si15W10Zr75
Ribbon,Cu50Ni10Zr40
Ribbon,Cu20Mg45Nd35
Ribbon,Al88Nd4Ni8
Ribbon,Al26Ni4Zr70
Ribbon,B16Fe79V5
Ribbon,La35Mg50Ni15
Ribbon,Cu40Hf45Ni15
NR,Al87Ce13Cr0
NR,B14C2Ni84
NR,Al87Cu8V5
NR,Cu25La25Mg50
NR,Be7.5Ti0Zr92.5
NR,B5Mo80Si15
NR,Cu70Ni10Zr20
NR,Al45Cu5Ti50
NR,Al30Cu40Ti30
NR,Cu80Ti0Zr20
