glass_forming_category,composition
Ribbon,Ag20Al25La55
Ribbon,Ag15Al10Mg75
Ribbon,Ag25Al10Mg65
Ribbon,Ag25Al20Mg55
Ribbon,Ag35Al10Mg55
Ribbon,Ag35Al20Mg45
Ribbon,Ag45Al20Mg35
Ribbon,Ag10Ce10Cu80
Ribbon,Ag15Ce6Cu79
Ribbon,Ag20Ce6Cu74
Ribbon,Ag20Ce10Cu70
Ribbon,Ag25Ce6Cu69
Ribbon,Ag30Ce6Cu64
Ribbon,Ag30Ce10Cu60
Ribbon,Ag35Ce4Cu61
Ribbon,Ag35Ce5Cu60
Ribbon,Ag35Ce6Cu59
Ribbon,Ag40Ce3Cu57
Ribbon,Ag40Ce4Cu56
Ribbon,Ag40Ce5Cu55
Ribbon,Ag40Ce8Cu52
Ribbon,Ag40Ce10Cu50
Ribbon,Ag45Ce3Cu52
Ribbon,Ag45Ce4Cu51
Ribbon,Ag45Ce5Cu50
Ribbon,Ag50Ce3Cu47
Ribbon,Ag50Ce4Cu46
Ribbon,Ag50Ce5Cu45
Ribbon,Ag50Ce10Cu40
Ribbon,Ag55Ce5Cu40
Ribbon,Ag55Ce6Cu39
Ribbon,Ag55Ce8Cu37
NR,Ag6Ce8Cu86
NR,Ag20Ce5Cu75
NR,Ag30Ce5Cu65
NR,Ag35Ce3Cu62
NR,Ag45Ce2Cu53
NR,Ag50Ce2Cu48
NR,Ag60Ce5Cu35
NR,Ag60Ce10Cu30
NR,Ag5Ce5Cu90
NR,Ag5Ce6Cu89
NR,Ag5Ce8Cu87
NR,Ag10Ce3Cu87
NR,Ag10Ce5Cu85
NR,Ag15Ce4Cu81
NR,Ag20Ce3Cu77
NR,Ag20Ce4Cu76
NR,Ag30Ce3Cu67
NR,Ag40Ce1Cu59
NR,Ag40Ce2Cu58
NR,Ag60Ce3Cu37
NR,Ag70Ce5Cu25
NR,Ag70Ce10Cu20
Ribbon,Ag28Cu30Fe42
Ribbon,Ag29Cu30Fe41
Ribbon,Ag30Cu30Fe40
Ribbon,Ag38Cu22Fe40
Ribbon,Ag41Cu23Fe36
Ribbon,Ag46Cu12Fe42
NR,Ag21Cu42Fe37
NR,Ag22Cu41Fe37
NR,Ag26Cu44Fe30
NR,Ag29Cu31Fe40
NR,Ag31Cu37Fe32
NR,Ag36Cu30Fe34
NR,Ag40Cu12Fe48
NR,Ag40Cu40Fe20
NR,Ag40Cu47Fe13
NR,Ag0Cu32Fe68
NR,Ag0Cu54Fe46
NR,Ag0Cu63Fe37
NR,Ag0Cu70Fe30
NR,Ag0Cu71Fe29
NR,Ag0Cu76Fe24
NR,Ag0Cu90Fe10
NR,Ag11Cu38Fe51
NR,Ag13Cu32Fe55
NR,Ag15Cu49Fe36
NR,Ag15Cu83Fe2
NR,Ag17Cu20Fe63
NR,Ag17Cu41Fe42
NR,Ag22Cu51Fe27
NR,Ag23Cu10Fe67
NR,Ag24Cu31Fe45
NR,Ag25Cu25Fe50
NR,Ag26Cu23Fe51
NR,Ag27Cu31Fe42
NR,Ag27Cu73Fe0
NR,Ag28Cu45Fe27
NR,Ag31Cu49Fe20
NR,Ag31Cu55Fe14
NR,Ag32Cu66Fe2
NR,Ag37Cu6Fe57
NR,Ag42Cu0Fe58
NR,Ag48Cu0Fe52
NR,Ag48Cu52Fe0
NR,Ag49Cu29Fe22
NR,Ag50Cu0Fe50
NR,Ag51Cu13Fe36
NR,Ag52Cu0Fe48
NR,Ag55Cu0Fe45
NR,Ag58Cu32Fe10
NR,Ag61Cu0Fe39
NR,Ag62Cu30Fe8
NR,Ag63Cu0Fe37
NR,Ag63Cu8Fe29
NR,Ag67Cu0Fe33
NR,Ag70Cu0Fe30
NR,Ag84Cu0Fe16
Ribbon,Ag37.5Cu37.5Ge25
Ribbon,Ag38.75Cu38.75Ge22.5
Ribbon,Ag40Cu40Ge20
Ribbon,Ag35Cu35Mg30
Ribbon,Ag7.1Cu85.2P7.7
Ribbon,Ag7.5Cu85.5P7
Ribbon,Ag8.9Cu83.5P7.6
Ribbon,Ag9Cu82.8P8.2
Ribbon,Ag9Cu84P7
Ribbon,Ag10.5Cu81.5P8
Ribbon,Ag10.5Cu81.9P7.6
Ribbon,Ag10.5Cu82.5P7
Ribbon,Ag12.2Cu80.3P7.5
Ribbon,Ag12.2Cu80.8P7
NR,Ag7Cu84.5P8.5
NR,Ag7.5Cu86P6.5
NR,Ag9Cu84.5P6.5
NR,Ag10.5Cu80.5P9
NR,Ag12.2Cu81.5P6.3
NR,Ag14Cu78.5P7.5
NR,Ag5.5Cu87P7.5
NR,Ag9Cu82.5P8.5
NR,Ag9Cu85P6
Ribbon,Ag0Mg84Y16
Ribbon,Ag5Mg80Y15
Ribbon,Ag10Mg60Y30
Ribbon,Ag10Mg70Y20
Ribbon,Ag10Mg80Y10
Ribbon,Ag15Mg80Y5
Ribbon,Ag20Mg30Y50
Ribbon,Ag20Mg40Y40
Ribbon,Ag20Mg50Y30
Ribbon,Ag20Mg60Y20
Ribbon,Ag20Mg70Y10
Ribbon,Ag25Mg60Y15
Ribbon,Ag25Mg65Y10
Ribbon,Ag25Mg70Y5
Ribbon,Ag30Mg30Y40
Ribbon,Ag30Mg40Y30
Ribbon,Ag30Mg50Y20
Ribbon,Ag30Mg55Y15
Ribbon,Ag30Mg60Y10
Ribbon,Ag40Mg30Y30
Ribbon,Ag40Mg40Y20
Ribbon,Ag40Mg50Y10
Ribbon,Ag50Mg30Y20
NR,Ag0Mg80Y20
NR,Ag0Mg87.5Y12.5
NR,Ag5Mg85Y10
NR,Ag10Mg50Y40
NR,Ag10Mg85Y5
NR,Ag20Mg20Y60
NR,Ag50Mg20Y30
NR,Ag60Mg20Y20
NR,Ag0Mg75Y25
NR,Ag0Mg90Y10
NR,Ag0Mg95Y5
NR,Ag5Mg90Y5
NR,Ag30Mg20Y50
NR,Ag40Mg20Y40
NR,Ag50Mg40Y10
Ribbon,Ag0Pd79Si21
Ribbon,Ag0Pd80Si20
Ribbon,Ag0Pd82Si18
Ribbon,Ag0Pd84Si16
Ribbon,Ag0Pd85Si15
Ribbon,Ag4.5Pd79Si16.5
Ribbon,Ag5Pd77Si18
Ribbon,Ag5Pd79Si16
Ribbon,Ag5.5Pd78Si16.5
Ribbon,Ag8.5Pd75Si16.5
Ribbon,Ag4Pd79.5Si16.5
Ribbon,Ag1.7Pd81.8Si16.5
Ribbon,Ag4.2Pd79.3Si16.5
Ribbon,Ag6.7Pd76.8Si16.5
Ribbon,Ag10Pd73.5Si16.5
Ribbon,Ag12.5Pd71Si16.5
Ribbon,Ag15Pd68.5Si16.5
Ribbon,Ag6Pd77.5Si16.5
NR,Ag20.9Pd62.6Si16.5
Ribbon,Al25Au20La55
Ribbon,Al0B18Co82
Ribbon,Al0B22Co78
Ribbon,Al0B26Co74
Ribbon,Al0B30Co70
Ribbon,Al0B36Co64
Ribbon,Al0B38Co62
Ribbon,Al0B40Co60
Ribbon,Al4B18Co78
Ribbon,Al4B22Co74
Ribbon,Al4B26Co70
Ribbon,Al4B30Co66
Ribbon,Al4B34Co62
Ribbon,Al8B18Co74
Ribbon,Al8B22Co70
Ribbon,Al8B26Co66
Ribbon,Al8B30Co62
Ribbon,Al8B34Co58
Ribbon,Al12B18Co70
Ribbon,Al12B22Co66
Ribbon,Al12B26Co62
Ribbon,Al12B30Co58
Ribbon,Al12B34Co54
Ribbon,Al12B38Co50
Ribbon,Al16B14Co70
Ribbon,Al16B18Co66
Ribbon,Al16B22Co62
Ribbon,Al16B26Co58
Ribbon,Al16B30Co54
Ribbon,Al16B34Co50
Ribbon,Al20B26Co54
Ribbon,Al20B30Co50
Ribbon,Al20B34Co46
Ribbon,Al20B38Co42
Ribbon,Al24B26Co50
Ribbon,Al24B34Co42
Ribbon,Al24B40Co36
NR,Al8B14Co78
NR,Al12B14Co74
NR,Al20B18Co62
NR,Al20B22Co58
NR,Al4B10Co86
NR,Al4B14Co82
NR,Al8B10Co82
NR,Al12B6Co82
